"Index","Year","Age","Name","Movie"
"1","1928","29","Janet Gaynor","Seventh Heaven Street Angel and Sunrise: A Song of Two Humans"
"2","1929","44","Mary Pickford","Coquette"
"3","1930","35","Norma Shearer","The Divorcee"
"4","1931","70","Marie Dressler","Min and Bill"
"5","1932","39","Helen Hayes","The Sin of Madelon Claudet"
"6","1933","33","Katharine Hepburn","Morning Glory"
"7","1934","38","Claudette Colbert","It Happened One Night"
"8","1935","34","Bette Davis","Dangerous"
"9","1936","34","Luise Rainer","The Great Ziegfeld"
"10","1937","35","Luise Rainer","The Good Earth"
"11","1938","37","Bette Davis","Jezebel"
"12","1939","33","Vivien Leigh","Gone with the Wind"
"13","1940","36","Ginger Rogers","Kitty Foyle"
"14","1941","31","Joan Fontaine","Suspicion"
"15","1942","45","Greer Garson","Mrs. Miniver"
"16","1943","32","Jennifer Jones","The Song of Bernadette"
"17","1944","36","Ingrid Bergman","Gaslight"
"18","1945","47","Joan Crawford","Mildred Pierce"
"19","1946","37","Olivia de Havilland","To Each His Own"
"20","1947","42","Loretta Young","The Farmer's Daughter"
"21","1948","39","Jane Wyman","Johnny Belinda"
"22","1949","40","Olivia de Havilland","The Heiress"
"23","1950","36","Judy Holliday","Born Yesterday"
"24","1951","45","Vivien Leigh","A Streetcar Named Desire"
"25","1952","61","Shirley Booth","Come Back Little Sheba"
"26","1953","31","Audrey Hepburn","Roman Holiday"
"27","1954","32","Grace Kelly","The Country Girl"
"28","1955","55","Anna Magnani","The Rose Tattoo"
"29","1956","48","Ingrid Bergman","Anastasia"
"30","1957","35","Joanne Woodward","The Three Faces of Eve"
"31","1958","48","Susan Hayward","I Want to Live!"
"32","1959","46","Simone Signoret","Room at the Top"
"33","1960","36","Elizabeth Taylor","Butterfield 8"
"34","1961","34","Sophia Loren","Two Women"
"35","1962","38","Anne Bancroft","The Miracle Worker"
"36","1963","38","Patricia Neal","Hud"
"37","1964","36","Julie Andrews","Mary Poppins"
"38","1965","32","Julie Christie","Darling"
"39","1966","42","Elizabeth Taylor","Who's Afraid of Virginia Woolf?"
"40","1967","67","Katharine Hepburn","Guess Who's Coming to Dinner"
"41","1968","68","Katharine Hepburn","The Lion in Winter"
"42","1969","33","Barbra Streisand","Funny Girl"
"43","1970","42","Maggie Smith","The Prime of Miss Jean Brodie"
"44","1971","41","Glenda Jackson","Women in Love"
"45","1972","41","Jane Fonda","Klute"
"46","1973","34","Liza Minnelli","Cabaret"
"47","1974","44","Glenda Jackson","A Touch of Class"
"48","1975","49","Ellen Burstyn","Alice Doesn't Live Here Anymore"
"49","1976","48","Louise Fletcher","One Flew Over the Cuckoo's Nest"
"50","1977","43","Faye Dunaway","Network"
"51","1978","39","Diane Keaton","Annie Hall"
"52","1979","48","Jane Fonda","Coming Home"
"53","1980","40","Sally Field","Norma Rae"
"54","1981","38","Sissy Spacek","Coal Miner's Daughter"
"55","1982","81","Katharine Hepburn","On Golden Pond"
"56","1983","40","Meryl Streep","Sophie's Choice"
"57","1984","56","Shirley MacLaine","Terms of Endearment"
"58","1985","45","Sally Field","Places in the Heart"
"59","1986","68","Geraldine Page","The Trip to Bountiful"
"60","1987","28","Marlee Matlin","Children of a Lesser God"
"61","1988","48","Cher","Moonstruck"
"62","1989","33","Jodie Foster","The Accused"
"63","1990","87","Jessica Tandy","Driving Miss Daisy"
"64","1991","49","Kathy Bates","Misery"
"65","1992","36","Jodie Foster","The Silence of the Lambs"
"66","1993","40","Emma Thompson","Howards End"
"67","1994","43","Holly Hunter","The Piano"
"68","1995","52","Jessica Lange","Blue Sky"
"69","1996","56","Susan Sarandon","Dead Man Walking"
"70","1997","46","Frances McDormand","Fargo"
"71","1998","41","Helen Hunt","As Good as It Gets"
"72","1999","33","Gwyneth Paltrow","Shakespeare in Love"
"73","2000","32","Hilary Swank","Boys Don't Cry"
"74","2001","40","Julia Roberts","Erin Brockovich"
"75","2002","42","Halle Berry","Monster's Ball"
"76","2003","42","Nicole Kidman","The Hours"
"77","2004","35","Charlize Theron","Monster"
"78","2005","37","Hilary Swank","Million Dollar Baby"
"79","2006","36","Reese Witherspoon","Walk the Line"
"80","2007","68","Helen Mirren","The Queen"
"81","2008","39","Marion Cotillard","La Vie en rose"
"82","2009","40","Kate Winslet","The Reader"
"83","2010","52","Sandra Bullock","The Blind Side"
"84","2011","36","Natalie Portman","Black Swan"
"85","2012","69","Meryl Streep","The Iron Lady"
"86","2013","29","Jennifer Lawrence","Silver Linings Playbook"
"87","2014","51","Cate Blanchett","Blue Jasmine"
"88","2015","61","Julianne Moore","Still Alice"
"89","2016","33","Brie Larson","Room"
"90","2017","36","Emma Stone","La La Land"
"91","2018","67","Frances McDormand","Three Billboards Outside Ebbing, Missouri"
"92","2019","52","Olivia Colman","The Favourite"
